@Date,srad,tmax,tmin,rain
20001,7.6,24.6,20.7,36.5
20002,18.1,27.3,20.1,1.3
20003,15.6,27.4,19.5,1.5
20004,12.9,28.5,19.9,1.4
20005,11.1,27.1,21.6,3.2
20006,15.9,28.4,20.2,6.3
20007,13.2,28.7,20.2,16.4
20008,12.6,28.9,20.2,10.1
20009,11.5,28.0,20.9,16.1
20010,14.8,28.3,20.5,7.0
20011,14.9,28.8,19.6,8.1
20012,24.5,28.2,20.5,1.3
20013,22.1,29.0,18.8,1.9
20014,25.8,28.7,19.6,1.7
20015,18.7,27.6,20.8,2.3
20016,21.9,28.4,21.2,2.4
20017,22.9,28.6,21.8,10.2
20018,22.6,26.6,21.3,21.0
20019,23.4,29.3,20.9,4.1
20020,22.7,25.4,21.9,16.2
20021,20.9,28.1,21.8,2.8
20022,19.6,29.1,21.6,12.3
20023,19.4,27.3,21.8,20.9
20024,20.0,27.7,22.1,17.6
20025,14.2,27.9,22.1,33.6
20026,21.9,28.1,21.0,14.9
20027,18.4,28.6,20.9,9.2
20028,19.9,28.5,21.4,16.9
20029,20.7,28.7,22.2,4.7
20030,16.9,27.0,21.6,11.0
20031,18.9,27.8,20.9,10.8
20032,16.5,27.2,21.9,12.3
20033,16.9,27.3,20.9,4.1
20034,17.9,25.6,21.8,14.9
20035,15.3,27.4,21.6,17.0
20036,18.7,27.9,20.9,26.4
20037,17.1,29.0,20.9,24.9
20038,15.5,25.9,21.5,24.6
20039,17.9,26.2,20.1,10.6
20040,14.1,27.6,19.5,10.6
20041,20.7,27.7,20.4,10.7
20042,10.0,27.1,20.4,17.4
20043,19.4,28.8,19.5,3.2
20044,17.2,28.0,21.8,12.0
20045,19.2,28.1,21.2,4.3
20046,13.1,26.7,22.0,42.4
20047,19.4,27.1,21.3,24.9
20048,11.1,26.9,20.6,29.4
20049,18.7,26.4,21.1,12.7
20050,19.7,26.1,21.2,28.4
20051,14.5,26.1,20.6,13.5
20052,20.9,26.8,20.0,10.6
20053,21.4,27.9,19.8,10.3
20054,20.9,28.1,21.5,17.9
20055,19.3,25.4,21.4,20.9
20056,11.1,25.7,21.2,31.6
20057,18.8,28.0,19.9,10.1
20058,18.7,27.2,21.4,4.3
20059,18.2,27.5,21.3,26.0
20060,20.7,27.4,21.7,21.5
20061,16.2,25.3,22.0,15.8
20062,20.2,27.8,21.2,7.6
20063,21.0,28.1,21.0,7.7
20064,11.0,27.6,21.8,31.8
20065,13.2,25.6,20.7,23.9
20066,21.2,28.3,19.3,26.1
20067,17.6,26.5,20.5,7.6
20068,15.9,26.1,20.4,7.6
20069,15.5,26.3,20.4,2.6
20070,18.9,28.4,20.5,6.8
20071,18.2,27.6,21.5,7.7
20072,14.1,25.7,21.3,10.9
20073,19.6,28.6,19.8,1.7
20074,17.9,26.1,22.5,8.8
20075,20.1,27.4,22.3,22.6
20076,20.6,26.5,21.9,12.6
20077,22.0,27.0,20.9,3.8
20078,14.4,25.6,21.0,16.4
20079,16.1,27.7,19.9,13.3
20080,16.7,26.7,21.4,246.4
20081,22.2,27.3,21.4,108.3
20082,16.9,25.4,21.1,12.3
20083,12.6,26.9,21.4,3.7
20084,18.4,27.1,21.5,6.8
20085,21.4,28.2,21.3,11.9
20086,18.4,26.2,21.1,30.1
20087,16.6,27.8,21.4,19.0
20088,17.7,27.4,21.5,5.3
20089,15.1,28.4,21.3,15.6
20090,14.5,25.9,22.1,24.7
20091,21.1,26.1,20.8,38.1
20092,17.8,27.1,21.1,22.9
20093,16.1,27.7,20.8,0.5
20094,20.0,27.1,21.8,6.4
20095,19.1,25.2,22.1,6.5
20096,20.1,26.8,21.6,8.4
20097,16.2,25.5,21.7,19.8
20098,19.0,27.1,20.8,34.6
20099,20.2,27.2,21.3,4.0
20100,20.1,25.6,21.8,9.3
20101,19.1,27.2,21.5,11.0
20102,20.2,27.6,20.5,9.2
20103,23.0,28.3,20.6,4.1
20104,23.0,27.4,21.0,29.1
20105,22.3,28.8,19.9,14.3
20106,19.9,28.6,20.9,21.7
20107,14.6,27.9,20.9,12.6
20108,17.6,27.5,20.7,16.3
20109,17.7,28.2,21.3,4.7
20110,20.4,27.8,21.7,4.0
20111,20.1,27.5,21.3,7.0
20112,12.3,26.6,21.6,11.5
20113,20.2,26.9,22.1,1.9
20114,20.4,26.7,21.9,1.5
20115,17.7,25.9,21.1,10.3
20116,17.7,25.4,18.9,0.3
20117,17.7,26.7,20.1,2.6
20118,14.6,25.5,22.0,9.5
20119,9.8,24.4,21.0,21.0
20120,18.4,27.2,20.2,12.7
20121,19.1,26.6,21.1,7.2
20122,18.0,25.2,21.1,21.4
20123,17.8,25.6,20.5,5.5
20124,18.9,27.1,20.8,5.0
20125,18.5,27.2,21.3,3.5
20126,17.4,27.2,21.8,8.8
20127,14.0,25.1,21.5,4.5
20128,18.7,27.4,20.6,0.3
20129,17.2,27.0,20.9,0.7
20130,13.3,26.2,21.3,1.6
20131,12.3,27.2,20.9,10.3
20132,14.9,25.4,21.3,18.7
20133,17.7,27.8,20.1,1.4
20134,18.4,27.6,21.5,2.6
20135,17.5,26.3,21.2,0.7
20136,16.1,27.3,21.2,5.1
20137,17.7,27.5,21.6,5.9
20138,15.9,26.8,22.4,2.8
20139,12.6,25.6,22.0,27.6
20140,15.8,27.2,20.9,4.2
20141,19.3,26.6,21.1,19.6
20142,15.1,27.1,21.4,11.1
20143,19.2,28.5,22.0,2.8
20144,20.6,27.7,21.7,0.7
20145,20.6,28.8,20.2,9.3
20146,14.8,28.2,21.0,6.0
20147,7.6,24.8,22.5,16.4
20148,13.9,25.7,21.6,24.0
20149,12.2,24.8,20.8,11.7
20150,13.6,26.9,21.1,69.7
20151,16.8,25.1,21.2,34.3
20152,11.6,24.2,21.7,16.6
20153,16.9,25.0,20.6,7.5
20154,17.4,26.8,20.2,6.4
20155,14.4,25.8,20.8,4.1
20156,17.2,25.6,20.6,1.1
20157,16.6,26.7,20.1,1.7
20158,15.6,26.9,19.6,9.1
20159,17.2,26.8,19.5,3.6
20160,15.5,26.9,20.6,6.1
20161,13.3,26.6,21.3,7.1
20162,17.4,25.5,20.8,1.4
20163,17.7,26.8,20.1,10.8
20164,19.3,26.8,19.6,2.1
20165,19.4,26.7,19.3,0.3
20166,17.0,26.5,19.5,0.2
20167,15.6,26.2,21.6,11.3
20168,15.8,26.8,21.0,1.1
20169,16.1,26.8,21.2,2.4
20170,10.6,27.0,20.9,4.5
20171,8.3,23.9,21.0,9.7
20172,14.9,25.8,20.2,0.1
20173,16.3,26.3,19.5,0.2
20174,13.9,24.7,20.8,10.9
20175,17.7,25.9,20.3,0.9
20176,14.5,26.5,20.2,8.5
20177,18.2,26.7,19.7,2.8
20178,16.8,26.3,19.4,0.3
20179,18.1,26.4,18.6,0.2
20180,18.9,26.0,19.1,0.1
20181,18.5,26.3,19.0,0.1
20182,19.1,26.3,19.1,0.2
20183,17.8,26.2,19.2,0.4
20184,13.5,26.2,19.6,18.7
20185,11.5,25.6,19.3,12.5
20186,17.4,25.5,18.8,2.1
20187,19.8,25.9,18.0,1.2
20188,15.2,24.9,19.4,4.2
20189,17.6,25.6,20.3,0.6
20190,18.3,25.0,19.3,1.9
20191,14.6,26.1,19.1,2.0
20192,14.1,25.9,19.4,7.1
20193,18.6,26.2,19.7,1.8
20194,19.6,25.9,19.8,0.3
20195,18.2,26.3,19.6,0.1
20196,17.1,26.3,19.8,15.2
20197,16.0,25.8,19.7,6.1
20198,17.4,25.9,19.9,13.4
20199,18.8,26.5,20.2,2.1
20200,20.6,26.4,19.3,0.1
20201,16.4,27.1,18.7,4.0
20202,18.9,26.7,19.5,1.6
20203,18.9,27.2,19.6,4.5
20204,18.8,26.8,19.6,0.4
20205,19.1,26.2,19.6,0.1
20206,20.9,26.4,19.0,0.0
20207,20.0,25.1,18.2,0.0
20208,18.9,25.4,17.6,0.0
20209,21.4,25.6,17.7,0.0
20210,21.0,25.5,18.2,0.0
20211,20.3,25.7,17.4,0.0
20212,22.1,24.7,14.6,0.0
20213,21.5,24.9,14.0,0.0
20214,21.6,26.2,16.4,0.0
20215,19.1,26.5,17.9,0.0
20216,19.4,26.6,17.6,0.0
20217,14.5,25.8,18.5,0.9
20218,16.7,27.5,19.1,0.3
20219,19.8,27.1,19.5,0.1
20220,20.6,26.9,19.3,0.6
20221,15.9,28.1,18.0,1.1
20222,19.9,28.4,19.1,0.5
20223,18.8,27.4,18.3,0.0
20224,13.7,26.6,19.0,4.9
20225,14.2,27.5,19.9,1.0
20226,10.6,26.6,20.7,13.0
20227,13.0,26.8,19.8,3.7
20228,19.7,26.8,19.7,2.0
20229,19.0,26.9,20.3,1.4
20230,19.8,26.9,19.6,0.5
20231,15.3,26.6,19.4,1.8
20232,20.5,27.0,19.0,0.2
20233,21.6,26.9,18.6,0.2
20234,22.3,27.1,18.7,0.2
20235,19.9,27.6,17.9,0.0
20236,21.0,27.4,19.1,0.0
20237,14.5,26.2,18.9,0.0
20238,23.5,26.9,18.1,0.0
20239,23.1,26.3,18.9,0.0
20240,23.6,26.2,18.0,0.0
20241,20.7,26.7,17.6,0.0
20242,16.6,27.2,19.4,0.2
20243,21.3,27.5,19.0,0.1
20244,20.7,27.3,18.6,0.0
20245,21.0,26.9,18.7,0.5
20246,11.6,25.9,18.9,8.0
20247,19.2,25.9,19.5,1.9
20248,19.6,28.3,20.4,0.8
20249,22.8,27.9,19.2,0.1
20250,24.7,27.9,18.7,0.1
20251,19.9,27.4,18.5,0.1
20252,21.4,27.8,19.0,0.1
20253,22.8,27.2,19.5,0.1
20254,19.2,26.8,20.0,0.3
20255,20.4,27.2,19.0,0.0
20256,22.2,27.6,18.7,0.0
20257,19.4,27.2,18.4,4.0
20258,20.1,27.6,18.8,3.7
20259,22.8,26.6,18.1,2.5
20260,24.1,26.9,17.6,1.2
20261,21.4,27.3,17.6,0.5
20262,20.6,28.0,18.5,0.8
20263,24.5,28.2,19.5,1.1
20264,15.7,27.2,20.1,7.0
20265,20.4,28.1,20.2,16.4
20266,12.9,26.6,20.5,24.7
20267,23.9,28.2,19.7,1.2
20268,21.7,27.9,20.3,4.7
20269,22.2,27.7,19.7,1.4
20270,20.2,27.6,19.4,1.9
20271,11.5,25.2,20.4,15.8
20272,19.1,26.0,19.8,2.9
20273,17.0,26.8,19.5,0.4
20274,22.3,27.8,18.8,1.9
20275,19.4,28.2,20.2,0.8
20276,18.2,28.1,20.4,6.0
20277,16.8,27.2,20.5,6.1
20278,19.6,26.7,20.0,4.9
20279,14.5,27.0,19.6,7.5
20280,13.2,27.8,19.5,3.2
20281,19.5,28.2,18.9,0.4
20282,20.6,28.4,19.0,1.2
20283,18.3,28.5,19.3,6.6
20284,11.8,25.9,20.4,6.0
20285,18.7,25.5,20.9,4.5
20286,14.3,27.5,20.6,16.2
20287,15.8,26.6,20.6,21.8
20288,20.9,28.3,19.9,3.5
20289,17.9,25.7,20.3,3.6
20290,17.2,25.7,20.3,13.8
20291,17.0,28.1,19.7,5.8
20292,18.3,27.6,19.6,20.7
20293,13.2,27.7,20.1,16.3
20294,16.9,27.7,20.9,24.8
20295,18.4,27.6,21.1,11.7
20296,15.4,27.3,21.1,15.3
20297,15.7,27.0,20.7,31.2
20298,14.0,27.0,20.3,20.4
20299,10.9,27.4,21.4,21.1
20300,13.8,26.9,20.8,22.7
20301,14.1,25.3,20.8,13.9
20302,18.5,26.9,20.1,10.0
20303,18.0,27.3,20.1,12.0
20304,16.2,26.3,20.9,14.5
20305,18.9,27.5,20.2,38.8
20306,21.0,27.6,20.7,43.9
20307,19.4,27.4,19.8,2.7
20308,24.0,28.4,19.6,0.4
20309,19.6,28.1,20.6,2.7
20310,11.4,25.6,20.7,8.9
20311,21.9,26.3,20.2,1.5
20312,21.5,26.5,20.7,2.2
20313,18.1,27.6,20.7,7.0
20314,17.4,27.9,20.8,25.5
20315,19.6,27.7,20.3,18.4
20316,18.6,27.8,19.7,10.0
20317,19.2,27.5,21.7,13.1
20318,20.3,27.7,21.5,2.5
20319,20.4,27.6,21.4,6.8
20320,21.0,26.0,21.8,7.1
20321,19.7,25.9,21.3,4.3
20322,19.4,26.2,21.1,9.0
20323,11.3,27.9,20.7,3.7
20324,20.3,27.7,21.8,5.4
20325,15.1,26.6,22.1,7.4
20326,15.2,26.5,21.8,14.9
20327,14.0,26.0,20.8,10.4
20328,15.6,26.0,20.9,9.0
20329,16.2,25.3,20.6,14.2
20330,17.0,27.0,19.7,28.8
20331,21.8,28.4,19.1,8.0
20332,22.4,26.6,19.7,10.3
20333,17.6,27.4,20.2,19.4
20334,15.9,24.3,20.9,56.8
20335,18.8,27.9,19.6,9.1
20336,11.9,27.8,20.0,11.7
20337,20.5,27.5,20.3,18.6
20338,16.8,25.9,21.3,5.0
20339,17.0,27.3,20.3,9.7
20340,14.1,25.9,20.6,11.2
20341,10.7,25.4,20.6,24.6
20342,11.1,26.2,19.8,3.4
20343,20.6,27.3,18.9,1.1
20344,13.9,25.8,19.8,2.7
20345,15.2,26.9,19.4,2.1
20346,16.9,26.4,20.6,3.1
20347,15.8,26.2,20.3,13.2
20348,11.8,25.4,19.6,9.6
20349,13.5,25.7,20.4,7.4
20350,9.8,25.5,20.4,20.6
20351,16.0,27.3,20.4,8.7
20352,16.2,25.8,20.9,9.8
20353,15.4,26.8,20.3,6.2
20354,21.5,27.0,19.8,1.8
20355,19.6,28.3,18.4,0.7
20356,14.8,27.7,20.2,3.9
20357,19.0,27.6,20.2,7.0
20358,21.8,27.3,20.4,11.8
20359,20.6,27.6,19.9,19.5
20360,16.6,26.4,21.0,15.8
20361,12.9,27.1,21.0,7.8
20362,20.1,27.3,20.6,10.7
20363,15.7,26.0,20.5,66.8
20364,12.3,25.6,20.8,24.6
20365,12.5,25.7,20.8,17.7
20366,15.1,25.8,19.8,17.2
